label,seed,horizon,period,pe,rmse,mae,r2,n,storm_source
storm_no_physics,42,12h,high_flux,0.7738271951675415,0.3787058889865875,0.26340875029563904,0.6710307598114014,1577,storm_flag
storm_no_physics,43,45min,all,0.3666878938674927,0.09069740772247314,0.055853091180324554,0.9874332547187805,15766,storm_flag
storm_no_physics,43,6h,all,0.695084273815155,0.24099335074424744,0.1658199280500412,0.9112154245376587,15766,storm_flag
storm_no_physics,43,12h,all,0.7564942836761475,0.291586697101593,0.19731853902339935,0.8699891567230225,15766,storm_flag
storm_no_physics,43,45min,storm,0.2651556730270386,0.1549105942249298,0.10704705119132996,0.9743640422821045,1050,storm_flag
storm_no_physics,43,6h,storm,0.6757107973098755,0.3645598888397217,0.27417927980422974,0.8472896814346313,1050,storm_flag
storm_no_physics,43,12h,storm,0.7778180241584778,0.4286283850669861,0.33194515109062195,0.7677994966506958,1050,storm_flag
storm_no_physics,43,45min,quiet,0.3871077299118042,0.084265798330307,0.052200354635715485,0.9870612621307373,14716,storm_flag
storm_no_physics,43,6h,quiet,0.6983248591423035,0.22964946925640106,0.15808838605880737,0.9025310277938843,14716,storm_flag
storm_no_physics,43,12h,quiet,0.7525012493133545,0.279249906539917,0.18771281838417053,0.8547968864440918,14716,storm_flag
storm_no_physics,43,45min,high_flux,0.45461535453796387,0.11119258403778076,0.07248524576425552,0.9597762823104858,1577,storm_flag
storm_no_physics,43,6h,high_flux,0.7737559676170349,0.26064616441726685,0.18518465757369995,0.5494396686553955,1577,storm_flag
storm_no_physics,43,12h,high_flux,0.7801671028137207,0.37336039543151855,0.26138949394226074,0.680252194404602,1577,storm_flag
storm_no_physics,44,45min,all,0.3384521007537842,0.09269719570875168,0.058649711310863495,0.9868729710578918,15766,storm_flag
storm_no_physics,44,6h,all,0.6570590734481812,0.25557875633239746,0.1790211945772171,0.9001433849334717,15766,storm_flag
storm_no_physics,44,12h,all,0.7396161556243896,0.30152279138565063,0.20841166377067566,0.8609777092933655,15766,storm_flag
storm_no_physics,44,45min,storm,0.25088346004486084,0.1564076989889145,0.10822944343090057,0.9738661646842957,1050,storm_flag
storm_no_physics,44,6h,storm,0.6190952062606812,0.39510345458984375,0.293850839138031,0.8206290006637573,1050,storm_flag
storm_no_physics,44,12h,storm,0.7507266998291016,0.4540089964866638,0.3333899676799774,0.739486575126648,1050,storm_flag
storm_no_physics,44,45min,quiet,0.3560636043548584,0.08637354522943497,0.05511214956641197,0.9864058494567871,14716,storm_flag
storm_no_physics,44,6h,quiet,0.6634092926979065,0.24257540702819824,0.17082799971103668,0.8912500143051147,14716,storm_flag
storm_no_physics,44,12h,quiet,0.7375355958938599,0.28756874799728394,0.1994943469762802,0.8460167646408081,14716,storm_flag
storm_no_physics,44,45min,high_flux,0.3457409143447876,0.12178653478622437,0.07951310276985168,0.9517464637756348,1577,storm_flag
storm_no_physics,44,6h,high_flux,0.64731764793396,0.3254278004169464,0.23178301751613617,0.297640323638916,1577,storm_flag
storm_no_physics,44,12h,high_flux,0.7618886828422546,0.3885723352432251,0.27176493406295776,0.6536661982536316,1577,storm_flag
