account,seed,run_name,epochs,PE_1h,RMSE_45min,PE_6h,RMSE_6h,PE_12h,RMSE_12h,upper_bound
11,46,wider_delay_2.0h_seed46,40,0.9861335235609022,0.09299085289239883,0.9012495988034213,0.24815677106380463,0.8588572694895369,0.29667559266090393,2.0
11,46,wider_delay_2.5h_seed46,40,0.9861659011925704,0.09288222342729568,0.9024312414744271,0.24666759371757507,0.8576389247322744,0.2979532778263092,2.5
11,46,wider_delay_3.0h_seed46,40,0.9860258604684395,0.09335115551948547,0.8985425542857371,0.2515351474285126,0.8622148294517882,0.29312562942504883,3.0
11,46,wider_delay_3.5h_seed46,40,0.986443676779979,0.09194499999284744,0.9108628007041464,0.23576873540878296,0.8525544892457599,0.30322733521461487,3.5
11,46,wider_delay_4.0h_seed46,40,0.9864033092807175,0.09208179265260696,0.9015928203420128,0.24772514402866364,0.8487603954716556,0.3071039021015167,4.0
12,47,wider_delay_1.5h_seed47,40,0.9863708345758916,0.09219169616699219,0.9050505973842444,0.24333401024341583,0.8569075690045199,0.2987176477909088,1.5
12,47,wider_delay_2.0h_seed47,40,0.9859318712503105,0.09366456419229507,0.8981101745979249,0.2520705461502075,0.8487317926321893,0.30713292956352234,2.0
12,47,wider_delay_2.5h_seed47,40,0.9859188529931494,0.09370789676904678,0.8994529172332982,0.25040411949157715,0.858162688841096,0.2974046766757965,2.5
12,47,wider_delay_3.0h_seed47,40,0.9861893047841697,0.09280362725257874,0.8993243622335508,0.2505641281604767,0.8548513426562279,0.30085626244544983,3.0
12,47,wider_delay_3.5h_seed47,40,0.9858720697048821,0.09386343508958817,0.9032095965974334,0.2456817328929901,0.858256012474793,0.2973068356513977,3.5
12,47,wider_delay_4.0h_seed47,40,0.9858570158982761,0.09391342848539352,0.9009010845264571,0.24859429895877838,0.856594240071771,0.29904451966285706,4.0
13,48,wider_delay_1.5h_seed48,40,0.9861247376934159,0.09302030503749847,0.9027225153235297,0.2462991327047348,0.8530701050101723,0.30269667506217957,1.5
13,48,wider_delay_2.0h_seed48,40,0.985758806237938,0.09423893690109253,0.897117565124503,0.2532954216003418,0.8545618852661914,0.30115610361099243,2.0
13,48,wider_delay_2.5h_seed48,40,0.9864050700384545,0.09207583218812943,0.9009777635216597,0.2484980970621109,0.8515626493467264,0.3042455017566681,2.5
13,48,wider_delay_3.0h_seed48,40,0.9864058376631166,0.0920732319355011,0.901963365791796,0.24725832045078278,0.8527397505777411,0.30303677916526794,3.0
13,48,wider_delay_3.5h_seed48,40,0.9864405614783343,0.09195556491613388,0.9021494658804174,0.24702352285385132,0.8605450042861094,0.2948964834213257,3.5
13,48,wider_delay_4.0h_seed48,40,0.9859290919711345,0.09367381781339645,0.8991976829898405,0.2507217228412628,0.8508542810304728,0.3049705922603607,4.0
14,49,wider_delay_1.5h_seed49,40,0.9858871070837227,0.0938134640455246,0.8988989120903346,0.2510930001735687,0.8478512696317801,0.3080255389213562,1.5
14,49,wider_delay_2.0h_seed49,40,0.9860537473464903,0.09325796365737915,0.9069669211260654,0.24086594581604004,0.860044132007036,0.2954255938529968,2.0
14,49,wider_delay_2.5h_seed49,40,0.9864020861589308,0.09208593517541885,0.9060825439707395,0.24200807511806488,0.8641674332325404,0.29104122519493103,2.5
14,49,wider_delay_3.0h_seed49,40,0.9868598055120082,0.09052281826734543,0.9040014165424393,0.24467472732067108,0.8609645603891566,0.2944525480270386,3.0
14,49,wider_delay_3.5h_seed49,40,0.9868404088016712,0.09058960527181625,0.9038773836679153,0.24483273923397064,0.8538793837617357,0.3018619120121002,3.5
